category	NA	metadata	definition	reference of definition\[<url_to_definition>\]	expected unit of measurement	example	sources( where this or similar matadata field is mentioned)	NA
marine microbiome	Site metadata	Collection date/time	Restricted text, The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated. [ISO8601](https://www.iso.org/iso-8601-date-and-time-format.html) compliant	NA	NA	e.g. 2013-03-25T12:42:31+01:00	[ GSC MIxS: WaterMIMS ](https://genomicsstandardsconsortium.github.io/mixs/WaterMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ ENA Marine Microalgae Checklist; Checklist: ERC000043 ](https://www.ebi.ac.uk/ena/browser/view/ERC000043), [ ENA Tara Oceans; Checklist: ERC000030 ](https://www.ebi.ac.uk/ena/browser/view/ERC000030), [ GSC MIxS Water; ENA Checklist: ERC000024 ](https://www.ebi.ac.uk/ena/browser/view/ERC000024)	NA
marine microbiome	NA	Collected by	Name of person or institute that collected the sample	NA	[ ENA Marine Microalgae Checklist; Checklist: ERC000043 ](https://www.ebi.ac.uk/ena/browser/view/ERC000043)	NA	NA	NA
marine microbiome	NA	Geographic location	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the [INSDC country list](https://www.insdc.org/submitting-standards/country-qualifier-vocabulary/), or the [GAZ ontology](http://purl.bioontology.org/ontology/GAZ)	NA	NA	e.g. USA: Maryland, Bethesda; Atlantic Ocean region OR Mediterranean Sea, Eastern Basin [\[GAZ:00002536\]](http://purl.obolibrary.org/obo/GAZ_00002536)	[ GSC MIxS: WaterMIMS ](https://genomicsstandardsconsortium.github.io/mixs/WaterMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ ENA Marine Microalgae Checklist; Checklist: ERC000043 ](https://www.ebi.ac.uk/ena/browser/view/ERC000043), [ ENA Tara Oceans; Checklist: ERC000030 ](https://www.ebi.ac.uk/ena/browser/view/ERC000030), [ GSC MIxS Water; ENA Checklist: ERC000024 ](https://www.ebi.ac.uk/ena/browser/view/ERC000024)	NA
marine microbiome	NA	Latitude	The geographical origin of the sample as defined by latitude. The values should be reported in decimal degrees and in WGS84 system.	NA	NA	e.g. -50.605389	[ GSC MIxS: WaterMIMS ](https://genomicsstandardsconsortium.github.io/mixs/WaterMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ ENA Marine Microalgae Checklist; Checklist: ERC000043 ](https://www.ebi.ac.uk/ena/browser/view/ERC000043), [ ENA Tara Oceans; Checklist: ERC000030 ](https://www.ebi.ac.uk/ena/browser/view/ERC000030), [ GSC MIxS Water; ENA Checklist: ERC000024 ](https://www.ebi.ac.uk/ena/browser/view/ERC000024)	NA
marine microbiome	NA	Longitude	The geographical origin of the sample as defined by longitude. The values should be reported in decimal degrees and in WGS84 system.	NA	NA	e.g. 165.967333	[ GSC MIxS: WaterMIMS ](https://genomicsstandardsconsortium.github.io/mixs/WaterMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ ENA Marine Microalgae Checklist; Checklist: ERC000043 ](https://www.ebi.ac.uk/ena/browser/view/ERC000043), [ ENA Tara Oceans; Checklist: ERC000030 ](https://www.ebi.ac.uk/ena/browser/view/ERC000030), [ GSC MIxS Water; ENA Checklist: ERC000024 ](https://www.ebi.ac.uk/ena/browser/view/ERC000024)	NA
marine microbiome	NA	Elevation	Elevation is mainly used when referring to points on the earth s surface. Origin elevation in m	NA	NA	e.g. 100 m	[ GSC MIxS: WaterMIMS ](https://genomicsstandardsconsortium.github.io/mixs/WaterMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS Water; ENA Checklist: ERC000024 ](https://www.ebi.ac.uk/ena/browser/view/ERC000024)	NA
marine microbiome	NA	Altitude	Altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	NA	NA	e.g. 100 m	[ GSC MIxS: WaterMIMS ](https://genomicsstandardsconsortium.github.io/mixs/WaterMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ ENA Marine Microalgae Checklist; Checklist: ERC000043 ](https://www.ebi.ac.uk/ena/browser/view/ERC000043), [ ENA Tara Oceans; Checklist: ERC000030 ](https://www.ebi.ac.uk/ena/browser/view/ERC000030), [ GSC MIxS Water; ENA Checklist: ERC000024 ](https://www.ebi.ac.uk/ena/browser/view/ERC000024)	NA
marine microbiome	NA	Depth	The vertical distance below local (sea) surface. Depth can be reported as an interval for subsurface samples	NA	NA	e.g. 100 m	[ GSC MIxS: Human-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-associatedMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS: Human-gutMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-gutMIMS/), [ GSC MIxS: Human-oralMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-oralMIMS/), [ GSC MIxS: Human-skinMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-skinMIMS/), [ GSC MIxS: Human-vaginalMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-vaginalMIMS/), [ GSC MIxS Human Associated; ENA Checklist: ERC000014 ](https://www.ebi.ac.uk/ena/browser/view/ERC000014)	NA
marine microbiome	NA	Sample size/mass	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected	NA	NA	e.g. H x W x L, vol., mass 2000 ml water, 1000 g soil	NA	[ GSC MIxS: WaterMIMS ](https://genomicsstandardsconsortium.github.io/mixs/WaterMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS Water; ENA Checklist: ERC000024 ](https://www.ebi.ac.uk/ena/browser/view/ERC000024)
marine microbiome	NA	Site conditions	Environmental temp, RH, salinity, pH	NA	NA	e.g. 25 degree Celsius, 25 practical salinity unit, pH 7.2	[ GSC MIxS: WaterMIMS ](https://genomicsstandardsconsortium.github.io/mixs/WaterMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS Water; ENA Checklist: ERC000024 ](https://www.ebi.ac.uk/ena/browser/view/ERC000024), MSI-ECWSG ([Morrison et al. (2007)](https://doi.org/10.1007/s11306-007-0067-1))	NA
