category	metadata	definition	examples	source
proteomics	Project title	Name of the project	e.g. Identification of a cryptic MHC-E epitope from influenza virus	ProteomeXchange Consortium Guidelines ( https://www.proteomexchange.org/docs/guidelines_px.pdf )
proteomics	Project description	Overall description of the project	e.g. B6-CIITA-E cell line (C57Bl/6 fibroblasts expressing MHC-II molecules I-Ab and I-Ed) was infected with Influenza A virus (A/Puerto Rico/8/1934, PR8) or left uninfected (control), and the MHC-class II-associated peptidome analysed via immunopeptidomics.	ProteomeXchange Consortium Guidelines ( https://www.proteomexchange.org/docs/guidelines_px.pdf )
proteomics	Contact information	Person(s) responsible for contact including their affiliation	e.g. email address	ProteomeXchange Consortium Guidelines ( https://www.proteomexchange.org/docs/guidelines_px.pdf ), MIAPE (Taylor et al. 2007)
proteomics	Sample species	Species of the sample	e.g. Mus musculus (mouse)	ProteomeXchange Consortium Guidelines ( https://www.proteomexchange.org/docs/guidelines_px.pdf )
proteomics	PX_ID	Unique dataset identifier	e.g. PXD045025	ProteomeXchange Consortium Guidelines ( https://www.proteomexchange.org/docs/guidelines_px.pdf )
proteomics	Instrument	Mass spectrometer & manufacturer	e.g. Orbitrap Fusion Lumos	ProteomeXchange Consortium Guidelines ( https://www.proteomexchange.org/docs/guidelines_px.pdf )
proteomics	Modifications	What post-translational modifications were done if applicable	e.g. iodoacetamide derivatized residue orNo PTMs are included in the dataset	ProteomeXchange Consortium Guidelines ( https://www.proteomexchange.org/docs/guidelines_px.pdf )
proteomics	File type	Type of file uploaded	e.g. RAW, SEARCH, RESULT, etc.	ProteomeXchange Consortium Guidelines ( https://www.proteomexchange.org/docs/guidelines_px.pdf )
proteomics	Ion source	ESI, MALDI or other ionisation source including relevant parameters	Peptide ions were introduced to the mass spectrometer using an Easy-Spray Source at 2000 V	MIAPE (https://doi.org/10.1038/nbt1329)
proteomics	DOI	ID number of the publication associated with the dataset	e.g. DOI: 10.1038/S41590-023-01644-5	ProteomeXchange Consortium Guidelines ( https://www.proteomexchange.org/docs/guidelines_px.pdf )
